notification_date;user_id;stimulus;target_component
2024-04-22 00:44:47;5884;Click;Image
2024-04-22 00:44:47;1783;Visualized 1016. ;Menu
2024-04-22 00:44:47;4232;Type;Button
2024-04-22 00:44:47;5811;Click;Form
2024-04-22 00:44:47;3197;Click;Link
2024-04-22 00:44:47;1289;Click;Form
2024-04-22 00:44:47;1170;Scroll;Form
2024-04-22 00:44:47;5574;Visualized 1028. ;Menu
2024-04-22 00:44:47;5093;Click;Button
2024-04-22 00:44:47;4844;Type;Form
2024-04-22 00:44:47;1036;Type;Image
2024-04-22 00:44:47;3700;Visualized 1029. ;Button
2024-04-22 00:44:47;1871;Swipe;Image
2024-04-22 00:44:47;1853;Visualized 1018. ;Menu
2024-04-22 00:44:47;2556;Swipe;Form
2024-04-22 00:44:47;1208;Click;Image
2024-04-22 00:44:47;4225;Type;Button
2024-04-22 00:44:47;2059;Scroll;Button
2024-04-22 00:44:47;4345;Type;Menu
2024-04-22 00:44:47;3006;Hover;Menu
2024-04-22 00:44:47;1985;Swipe;Menu
2024-04-22 00:44:47;1847;Click;Form
2024-04-22 00:44:47;1416;Hover;Link
2024-04-22 00:44:47;5654;Click;Link
2024-04-22 00:44:47;2220;Click;Image
2024-04-22 00:44:47;4331;Type;Form
2024-04-22 00:44:47;4743;Visualized 1023. ;Form
2024-04-22 00:44:47;3760;Scroll;Button
2024-04-22 00:44:47;4699;Hover;Image
2024-04-22 00:44:47;3417;Click;Menu
2024-04-22 00:44:47;1909;Click;Menu
2024-04-22 00:44:47;2739;Click;Menu
2024-04-22 00:44:47;2318;Scroll;Form
2024-04-22 00:44:47;2699;Click;Form
2024-04-22 00:44:47;4575;Visualized 1007. ;Form
2024-04-22 00:44:47;2336;Swipe;Link
2024-04-22 00:44:47;1315;Click;Menu
2024-04-22 00:44:47;5392;Click;Menu
2024-04-22 00:44:47;5954;Click;Image
2024-04-22 00:44:47;2169;Hover;Form
2024-04-22 00:44:47;4058;Click;Image
2024-04-22 00:44:47;5099;Visualized 1014. ;Link
2024-04-22 00:44:47;3696;Swipe;Link
2024-04-22 00:44:47;5194;Swipe;Button
2024-04-22 00:44:47;1416;Swipe;Form
2024-04-22 00:44:47;3145;Scroll;Form
2024-04-22 00:44:47;5418;Click;Link
2024-04-22 00:44:47;3772;Scroll;Form
2024-04-22 00:44:47;4643;Swipe;Image
2024-04-22 00:44:47;1167;Visualized 1038. ;Link
2024-04-22 00:44:47;2328;Swipe;Menu
2024-04-22 00:44:47;2466;Scroll;Form
2024-04-22 00:44:47;4571;Type;Link
2024-04-22 00:44:47;1097;Click;Link
2024-04-22 00:44:47;4301;Scroll;Menu
2024-04-22 00:44:47;5461;Scroll;Menu
2024-04-22 00:44:47;5292;Scroll;Menu
2024-04-22 00:44:47;2086;Hover;Menu
2024-04-22 00:44:47;3145;Hover;Image
2024-04-22 00:44:47;1256;Hover;Link
2024-04-22 00:44:47;2021;Scroll;Button
2024-04-22 00:44:47;1347;Hover;Form
2024-04-22 00:44:47;4699;Click;Menu
2024-04-22 00:44:47;5638;Swipe;Menu
2024-04-22 00:44:47;4480;Visualized 1014. ;Form
2024-04-22 00:44:47;1855;Visualized 1001. ;Link
2024-04-22 00:44:47;2527;Type;Menu
2024-04-22 00:44:47;1043;Click;Link
2024-04-22 00:44:47;3566;Hover;Link
2024-04-22 00:44:47;2130;Visualized 1037. ;Menu
2024-04-22 00:44:47;2128;Click;Form
2024-04-22 00:44:47;1689;Hover;Image
2024-04-22 00:44:47;2466;Scroll;Link
2024-04-22 00:44:47;1940;Swipe;Image
2024-04-22 00:44:47;1022;Visualized 1013. ;Menu
2024-04-22 00:44:47;3268;Hover;Link
2024-04-22 00:44:47;3190;Scroll;Button
2024-04-22 00:44:47;2737;Visualized 1018. ;Link
2024-04-22 00:44:47;2362;Hover;Image
2024-04-22 00:44:47;1735;Hover;Link
2024-04-22 00:44:47;1276;Scroll;Button
2024-04-22 00:44:47;4106;Visualized 1011. ;Link
2024-04-22 00:44:47;4469;Scroll;Form
2024-04-22 00:44:47;3381;Swipe;Form
2024-04-22 00:44:47;3059;Hover;Menu
2024-04-22 00:44:47;1157;Type;Menu
2024-04-22 00:44:47;3805;Swipe;Button
2024-04-22 00:44:47;3143;Click;Form
2024-04-22 00:44:47;2485;Type;Link
2024-04-22 00:44:47;5700;Scroll;Image
2024-04-22 00:44:47;4911;Swipe;Button
2024-04-22 00:44:47;4754;Scroll;Image
2024-04-22 00:44:47;1370;Type;Link
2024-04-22 00:44:47;3048;Visualized 1001. ;Link
2024-04-22 00:44:47;3036;Swipe;Menu
2024-04-22 00:44:47;2416;Scroll;Menu
2024-04-22 00:44:47;2676;Swipe;Button
2024-04-22 00:44:47;1201;Scroll;Button
2024-04-22 00:44:47;5170;Swipe;Link
2024-04-22 00:44:47;5444;Hover;Form
2024-04-22 00:44:47;2076;Visualized 1025. ;Form
2024-04-22 00:44:47;4070;Type;Menu
2024-04-22 00:44:47;1508;Click;Image
2024-04-22 00:44:47;4259;Hover;Link
2024-04-22 00:44:47;5415;Hover;Link
2024-04-22 00:44:47;2036;Swipe;Form
2024-04-22 00:44:47;4132;Click;Image
2024-04-22 00:44:47;4732;Click;Button
2024-04-22 00:44:47;1731;Hover;Menu
2024-04-22 00:44:47;2426;Click;Link
2024-04-22 00:44:47;5308;Visualized 1017. ;Link
2024-04-22 00:44:47;5865;Scroll;Button
2024-04-22 00:44:47;5666;Hover;Menu
