notification_date;event_type;message;user_id;stimulus;target_component
2024-04-22 00:49:20;behavior;User Loving Banzai visualized 1026.;4200;Visualization;Image
2024-04-22 00:49:20;behavior;Elastic Liskov swiped Image.;2959;Swipe;Button
2024-04-22 00:49:20;behavior;Suspicious Ellis scrolled over Link.;3041;Scroll;Form
2024-04-22 00:49:20;behavior;Busy Elion searched for Link.;5542;Type;Menu
2024-04-22 00:49:20;behavior;Sad Rosalind searched for Form.;4136;Type;Image
2024-04-22 00:49:20;behavior;Blissful Rosalind searched for Image.;1941;Type;Menu
2024-04-22 00:49:20;behavior;Agitated Zhukovsky swiped Menu.;2324;Swipe;Form
2024-04-22 00:49:20;behavior;Great Solomon searched for Menu.;2865;Type;Form
2024-04-22 00:49:20;behavior;Pensive Volhard scrolled over Form.;5120;Scroll;Link
2024-04-22 00:49:20;behavior;Happy Jepsen hovered over Image.;4930;Hover;Link
2024-04-22 00:49:20;behavior;Eloquent Germain hovered over Link.;3528;Hover;Button
2024-04-22 00:49:20;behavior;Pensive Chaplygin scrolled over Button.;4795;Scroll;Link
2024-04-22 00:49:20;behavior;Eager Moore scrolled over Button.;1178;Scroll;Image
2024-04-22 00:49:20;behavior;User Sleepy Hopper visualized 1003.;2625;Visualization;Button
2024-04-22 00:49:20;behavior;User Vigorous Dubinsky visualized 1004.;5189;Visualization;Button
2024-04-22 00:49:20;behavior;Agitated Lewin scrolled over Button.;2744;Scroll;Button
2024-04-22 00:49:20;behavior;User Jolly Hawking visualized 1031.;4220;Visualization;Image
2024-04-22 00:49:20;behavior;Competent Mcnulty swiped Image.;2671;Swipe;Image
2024-04-22 00:49:20;behavior;Busy Agnesi clicked on Menu component.;2502;Click;Image
2024-04-22 00:49:20;behavior;Practical Mendeleev hovered over Image.;2320;Hover;Link
2024-04-22 00:49:20;behavior;Elegant Chatelet hovered over Link.;4840;Hover;Link
2024-04-22 00:49:20;behavior;Strange Brown scrolled over Link.;2739;Scroll;Link
2024-04-22 00:49:20;behavior;Gifted Heyrovsky scrolled over Image.;2453;Scroll;Image
2024-04-22 00:49:20;behavior;Hopeful Robinson swiped Form.;3635;Swipe;Button
2024-04-22 00:49:20;behavior;Stupefied Thompson hovered over Button.;2012;Hover;Form
2024-04-22 00:49:20;behavior;User Awesome Saha visualized 1019.;2726;Visualization;Form
2024-04-22 00:49:20;behavior;Eloquent Neumann scrolled over Menu.;3415;Scroll;Menu
2024-04-22 00:49:20;behavior;Gallant Greider hovered over Link.;1560;Hover;Form
2024-04-22 00:49:20;behavior;Optimistic Ramanujan swiped Link.;3930;Swipe;Form
2024-04-22 00:49:20;behavior;Frosty Knuth swiped Menu.;1813;Swipe;Button
2024-04-22 00:49:20;behavior;Busy Nobel clicked on Image component.;2243;Click;Button
2024-04-22 00:49:20;behavior;Mystifying Northcutt swiped Form.;1568;Swipe;Button
2024-04-22 00:49:20;behavior;Strange Hypatia clicked on Image component.;3482;Click;Menu
2024-04-22 00:49:20;behavior;Strange Borg searched for Form.;3487;Type;Link
2024-04-22 00:49:20;behavior;Keen Jennings scrolled over Image.;3850;Scroll;Image
2024-04-22 00:49:20;behavior;Wonderful Lederberg swiped Link.;1116;Swipe;Button
2024-04-22 00:49:20;behavior;User Jolly Pasteur visualized 1024.;5513;Visualization;Menu
2024-04-22 00:49:20;behavior;Ecstatic Margulis clicked on Menu component.;4291;Click;Menu
2024-04-22 00:49:20;behavior;Keen Pare swiped Menu.;2053;Swipe;Button
2024-04-22 00:49:20;behavior;User Nifty Poitras visualized 1032.;3722;Visualization;Image
2024-04-22 00:49:20;behavior;User Blissful Germain visualized 1030.;3500;Visualization;Menu
2024-04-22 00:49:20;behavior;Dreamy Hertz swiped Menu.;1020;Swipe;Menu
2024-04-22 00:49:20;behavior;Happy Knuth scrolled over Link.;3659;Scroll;Image
2024-04-22 00:49:20;behavior;Vigorous Ride hovered over Form.;5134;Hover;Menu
2024-04-22 00:49:20;behavior;Zealous Poincare scrolled over Link.;1196;Scroll;Button
2024-04-22 00:49:20;behavior;Brave Poitras hovered over Menu.;2250;Hover;Button
2024-04-22 00:49:20;behavior;Funny Lehmann swiped Form.;1250;Swipe;Menu
2024-04-22 00:49:20;behavior;Quirky Raman swiped Menu.;1117;Swipe;Image
2024-04-22 00:49:20;behavior;Ecstatic Ptolemy hovered over Link.;4765;Hover;Menu
2024-04-22 00:49:20;behavior;Quirky Galois searched for Menu.;2910;Type;Button
2024-04-22 00:49:20;behavior;Tender Fermat searched for Form.;2020;Type;Link
2024-04-22 00:49:20;behavior;Kind Wilbur searched for Menu.;1096;Type;Menu
2024-04-22 00:49:20;behavior;Bold Wright searched for Menu.;5390;Type;Link
2024-04-22 00:49:20;behavior;Vibrant Yonath swiped Menu.;1624;Swipe;Button
2024-04-22 00:49:20;behavior;Romantic Burnell hovered over Link.;1890;Hover;Link
2024-04-22 00:49:20;behavior;User Goofy Keldysh visualized 1035.;3386;Visualization;Image
2024-04-22 00:49:20;behavior;Kind Snyder clicked on Image component.;1181;Click;Form
2024-04-22 00:49:20;behavior;Epic Dewdney scrolled over Menu.;5814;Scroll;Button
2024-04-22 00:49:20;behavior;Gracious Stonebraker searched for Form.;4946;Type;Link
2024-04-22 00:49:20;behavior;Amazing Blackburn hovered over Link.;2084;Hover;Form
2024-04-22 00:49:20;behavior;Pensive Khayyam clicked on Link component.;3383;Click;Menu
2024-04-22 00:49:20;behavior;Recursing Brattain scrolled over Menu.;4393;Scroll;Link
2024-04-22 00:49:20;behavior;Compassionate Roentgen hovered over Form.;1085;Hover;Link
2024-04-22 00:49:20;behavior;Naughty Dewdney searched for Menu.;4939;Type;Menu
2024-04-22 00:49:20;behavior;Focused Cray scrolled over Image.;5797;Scroll;Menu
2024-04-22 00:49:20;behavior;Zen Heisenberg searched for Menu.;2107;Type;Form
2024-04-22 00:49:20;behavior;Sad Edison hovered over Image.;5839;Hover;Button
2024-04-22 00:49:20;behavior;User Nifty Hermann visualized 1016.;4962;Visualization;Form
2024-04-22 00:49:20;behavior;Eloquent Wescoff clicked on Button component.;4949;Click;Menu
2024-04-22 00:49:20;behavior;User Eloquent Banach visualized 1037.;1858;Visualization;Form
2024-04-22 00:49:20;behavior;Jolly Elgamal scrolled over Form.;1766;Scroll;Button
2024-04-22 00:49:20;behavior;User Brave Hellman visualized 1020.;4894;Visualization;Form
2024-04-22 00:49:20;behavior;Boring Kapitsa swiped Link.;5174;Swipe;Button
2024-04-22 00:49:20;behavior;Magical Cannon hovered over Image.;2140;Hover;Link
2024-04-22 00:49:20;behavior;Frosty Williamson searched for Form.;1220;Type;Form
2024-04-22 00:49:20;behavior;Vigilant Poincare clicked on Image component.;4058;Click;Image
2024-04-22 00:49:20;behavior;Goofy Meninsky hovered over Image.;4735;Hover;Link
2024-04-22 00:49:20;behavior;Mystifying Mccarthy swiped Image.;5406;Swipe;Form
2024-04-22 00:49:20;behavior;Nice Carver clicked on Form component.;2492;Click;Button
2024-04-22 00:49:20;behavior;User Cool Colden visualized 1019.;2351;Visualization;Image
2024-04-22 00:49:20;behavior;Romantic Rubin swiped Link.;2298;Swipe;Form
2024-04-22 00:49:20;behavior;Sweet Perlman scrolled over Button.;1780;Scroll;Image
2024-04-22 00:49:20;behavior;Nifty Haibt swiped Form.;2967;Swipe;Button
2024-04-22 00:49:20;behavior;Beautiful Torvalds scrolled over Form.;3096;Scroll;Menu
2024-04-22 00:49:20;behavior;Priceless Dubinsky scrolled over Menu.;3778;Scroll;Button
2024-04-22 00:49:20;behavior;Vibrant Gauss swiped Image.;4297;Swipe;Menu
2024-04-22 00:49:20;behavior;User Keen Pare visualized 1028.;2053;Visualization;Button
2024-04-22 00:49:20;behavior;User Relaxed Easley visualized 1013.;2888;Visualization;Form
2024-04-22 00:49:20;behavior;Cranky Moser swiped Button.;5533;Swipe;Link
2024-04-22 00:49:20;behavior;Strange Borg swiped Link.;3487;Swipe;Button
2024-04-22 00:49:20;behavior;Recursing Johnson swiped Form.;4332;Swipe;Image
2024-04-22 00:49:20;behavior;User Inspiring Swartz visualized 1039.;4898;Visualization;Image
2024-04-22 00:49:20;behavior;Adoring Brattain swiped Link.;1167;Swipe;Form
2024-04-22 00:49:20;behavior;Sharp Ellis searched for Button.;2731;Type;Link
2024-04-22 00:49:20;behavior;User Competent Engelbart visualized 1039.;4943;Visualization;Menu
2024-04-22 00:49:20;behavior;Nervous Lederberg clicked on Button component.;4250;Click;Button
2024-04-22 00:49:20;behavior;Determined Brattain clicked on Menu component.;4272;Click;Form
2024-04-22 00:49:20;behavior;Magical Goldwasser hovered over Link.;1758;Hover;Menu
2024-04-22 00:49:20;behavior;Angry Herschel searched for Link.;1312;Type;Button
2024-04-22 00:49:20;behavior;Zealous Kare hovered over Link.;1526;Hover;Form
2024-04-22 00:49:20;behavior;Youthful Blackwell clicked on Link component.;5548;Click;Button
2024-04-22 00:49:20;behavior;Priceless Jennings swiped Form.;1572;Swipe;Form
2024-04-22 00:49:20;behavior;Dazzling Chatterjee swiped Button.;5440;Swipe;Form
2024-04-22 00:49:20;behavior;Happy Meitner clicked on Image component.;3489;Click;Button
