notification_date;event_type;message;user_id;stimulus;target_component
2024-04-22 01:29:54;behavior;Zealous Goldwasser clicked on Form component.;2026;Click;Link
2024-04-22 01:29:54;behavior;Focused Bose swiped Link.;1519;Swipe;Link
2024-04-22 01:29:54;behavior;Thirsty Lichterman searched for Link.;3569;Type;Form
2024-04-22 01:29:54;behavior;Interesting Jones searched for Form.;4715;Type;Button
2024-04-22 01:29:54;behavior;Busy Brattain searched for Menu.;5749;Type;Menu
2024-04-22 01:29:54;behavior;Priceless Bell hovered over Menu.;2581;Hover;Button
2024-04-22 01:29:54;behavior;Jovial Hamilton hovered over Link.;4388;Hover;Image
2024-04-22 01:29:54;behavior;Naughty Pare scrolled over Menu.;1400;Scroll;Form
2024-04-22 01:29:54;behavior;Relaxed Roentgen searched for Button.;2957;Type;Button
2024-04-22 01:29:54;behavior;Thirsty Nash swiped Link.;2568;Swipe;Image
2024-04-22 01:29:54;behavior;Sad Feistel scrolled over Form.;5277;Scroll;Button
2024-04-22 01:29:54;behavior;Exciting Hamilton swiped Button.;3735;Swipe;Link
2024-04-22 01:29:54;behavior;Nifty Wright scrolled over Button.;3280;Scroll;Link
2024-04-22 01:29:54;behavior;Cool Moser scrolled over Form.;1170;Scroll;Button
2024-04-22 01:29:54;behavior;Jolly Ride hovered over Image.;4922;Hover;Link
2024-04-22 01:29:54;behavior;Recursing Lovelace searched for Button.;1311;Type;Link
2024-04-22 01:29:54;behavior;User Practical Noether visualized 1036.;1768;Visualization;Menu
2024-04-22 01:29:54;behavior;User Festive Greider visualized 1023.;3762;Visualization;Image
2024-04-22 01:29:54;behavior;Compassionate Swartz scrolled over Image.;5356;Scroll;Link
2024-04-22 01:29:54;behavior;Happy Kepler swiped Form.;3911;Swipe;Button
2024-04-22 01:29:54;behavior;Tender Feistel hovered over Menu.;2375;Hover;Menu
2024-04-22 01:29:54;behavior;Crazy Nash swiped Menu.;2611;Swipe;Form
2024-04-22 01:29:54;behavior;Admiring Germain hovered over Button.;4995;Hover;Link
2024-04-22 01:29:54;behavior;Cranky Varahamihira scrolled over Link.;3585;Scroll;Link
2024-04-22 01:29:54;behavior;Wizardly Bartik swiped Form.;3556;Swipe;Menu
2024-04-22 01:29:54;behavior;Magical Brahmagupta clicked on Button component.;4107;Click;Image
2024-04-22 01:29:54;behavior;Objective Northcutt hovered over Image.;4909;Hover;Menu
2024-04-22 01:29:54;behavior;Interesting Rubin clicked on Form component.;4376;Click;Form
2024-04-22 01:29:54;behavior;Magical Mcnulty clicked on Image component.;2205;Click;Button
2024-04-22 01:29:54;behavior;Beautiful Poitras clicked on Image component.;2376;Click;Form
2024-04-22 01:29:54;behavior;Hopeful Lamport searched for Image.;2438;Type;Menu
2024-04-22 01:29:54;behavior;Suspicious Davinci clicked on Link component.;5851;Click;Form
2024-04-22 01:29:54;behavior;Competent Robinson hovered over Form.;5133;Hover;Form
2024-04-22 01:29:54;behavior;Brave Ganguly swiped Image.;3535;Swipe;Form
2024-04-22 01:29:54;behavior;Practical Rubin swiped Button.;1591;Swipe;Form
2024-04-22 01:29:54;behavior;Epic Clarke swiped Image.;3187;Swipe;Link
2024-04-22 01:29:54;behavior;Busy Mccarthy hovered over Menu.;3782;Hover;Form
